id;project;connector_type;t;delta_t;url;redirect_url;response_size;response_code;success;error
278;searchpage;requests;1598066102.3025892;-1.130488395690918;https://www.jobindex.dk/jobsoegning?lang=da?page=261.html;https://www.jobindex.dk/jobsoegning?lang=da?page=261.html;223722;200;True;
279;searchpage;requests;1598066104.0251944;-0.9897761344909668;https://www.jobindex.dk/jobsoegning?lang=da?page=262.html;https://www.jobindex.dk/jobsoegning?lang=da?page=262.html;223722;200;True;
280;searchpage;requests;1598066105.6982398;-1.5340015888214111;https://www.jobindex.dk/jobsoegning?lang=da?page=263.html;https://www.jobindex.dk/jobsoegning?lang=da?page=263.html;223722;200;True;
281;searchpage;requests;1598066107.8553894;-1.4698207378387451;https://www.jobindex.dk/jobsoegning?lang=da?page=264.html;https://www.jobindex.dk/jobsoegning?lang=da?page=264.html;223722;200;True;
282;searchpage;requests;1598066109.960363;-1.1865813732147217;https://www.jobindex.dk/jobsoegning?lang=da?page=265.html;https://www.jobindex.dk/jobsoegning?lang=da?page=265.html;223722;200;True;
283;searchpage;requests;1598066111.7621043;-1.1864194869995117;https://www.jobindex.dk/jobsoegning?lang=da?page=266.html;https://www.jobindex.dk/jobsoegning?lang=da?page=266.html;223722;200;True;
284;searchpage;requests;1598066113.5515652;-1.0834755897521973;https://www.jobindex.dk/jobsoegning?lang=da?page=267.html;https://www.jobindex.dk/jobsoegning?lang=da?page=267.html;223722;200;True;
285;searchpage;requests;1598066115.32965;-1.2152819633483887;https://www.jobindex.dk/jobsoegning?lang=da?page=268.html;https://www.jobindex.dk/jobsoegning?lang=da?page=268.html;223722;200;True;
286;searchpage;requests;1598066117.1592042;-1.0705702304840088;https://www.jobindex.dk/jobsoegning?lang=da?page=269.html;https://www.jobindex.dk/jobsoegning?lang=da?page=269.html;223722;200;True;
287;searchpage;requests;1598066118.9212227;-1.2743051052093506;https://www.jobindex.dk/jobsoegning?lang=da?page=270.html;https://www.jobindex.dk/jobsoegning?lang=da?page=270.html;223722;200;True;
288;searchpage;requests;1598066120.8427315;-1.2066481113433838;https://www.jobindex.dk/jobsoegning?lang=da?page=271.html;https://www.jobindex.dk/jobsoegning?lang=da?page=271.html;223722;200;True;
289;searchpage;requests;1598066122.664222;-1.2462794780731201;https://www.jobindex.dk/jobsoegning?lang=da?page=272.html;https://www.jobindex.dk/jobsoegning?lang=da?page=272.html;223722;200;True;
290;searchpage;requests;1598066124.6096666;-1.5497395992279053;https://www.jobindex.dk/jobsoegning?lang=da?page=273.html;https://www.jobindex.dk/jobsoegning?lang=da?page=273.html;223722;200;True;
291;searchpage;requests;1598066126.838724;-1.1153087615966797;https://www.jobindex.dk/jobsoegning?lang=da?page=274.html;https://www.jobindex.dk/jobsoegning?lang=da?page=274.html;223722;200;True;
292;searchpage;requests;1598066128.5414395;-1.2221503257751465;https://www.jobindex.dk/jobsoegning?lang=da?page=275.html;https://www.jobindex.dk/jobsoegning?lang=da?page=275.html;223722;200;True;
293;searchpage;requests;1598066130.3947313;-1.039095163345337;https://www.jobindex.dk/jobsoegning?lang=da?page=276.html;https://www.jobindex.dk/jobsoegning?lang=da?page=276.html;223722;200;True;
294;searchpage;requests;1598066132.0461261;-1.0896837711334229;https://www.jobindex.dk/jobsoegning?lang=da?page=277.html;https://www.jobindex.dk/jobsoegning?lang=da?page=277.html;223722;200;True;
295;searchpage;requests;1598066133.7429526;-1.2944281101226807;https://www.jobindex.dk/jobsoegning?lang=da?page=278.html;https://www.jobindex.dk/jobsoegning?lang=da?page=278.html;223722;200;True;
296;searchpage;requests;1598066135.7212248;-1.0977809429168701;https://www.jobindex.dk/jobsoegning?lang=da?page=279.html;https://www.jobindex.dk/jobsoegning?lang=da?page=279.html;223722;200;True;
297;searchpage;requests;1598066137.4460087;-1.3822963237762451;https://www.jobindex.dk/jobsoegning?lang=da?page=280.html;https://www.jobindex.dk/jobsoegning?lang=da?page=280.html;223722;200;True;
298;searchpage;requests;1598066139.4556603;-1.055501937866211;https://www.jobindex.dk/jobsoegning?lang=da?page=281.html;https://www.jobindex.dk/jobsoegning?lang=da?page=281.html;223723;200;True;
299;searchpage;requests;1598066141.1343436;-1.1142799854278564;https://www.jobindex.dk/jobsoegning?lang=da?page=282.html;https://www.jobindex.dk/jobsoegning?lang=da?page=282.html;223722;200;True;
300;searchpage;requests;1598066142.87511;-1.0865490436553955;https://www.jobindex.dk/jobsoegning?lang=da?page=283.html;https://www.jobindex.dk/jobsoegning?lang=da?page=283.html;223722;200;True;
301;searchpage;requests;1598066144.6478972;-1.5412006378173828;https://www.jobindex.dk/jobsoegning?lang=da?page=284.html;https://www.jobindex.dk/jobsoegning?lang=da?page=284.html;223722;200;True;
302;searchpage;requests;1598066146.7921097;-0.895310640335083;https://www.jobindex.dk/jobsoegning?lang=da?page=285.html;https://www.jobindex.dk/jobsoegning?lang=da?page=285.html;223723;200;True;
303;searchpage;requests;1598066148.2905157;-0.7789819240570068;https://www.jobindex.dk/jobsoegning?lang=da?page=286.html;https://www.jobindex.dk/jobsoegning?lang=da?page=286.html;223722;200;True;
304;searchpage;requests;1598066149.6654513;-0.7542617321014404;https://www.jobindex.dk/jobsoegning?lang=da?page=287.html;https://www.jobindex.dk/jobsoegning?lang=da?page=287.html;223723;200;True;
305;searchpage;requests;1598066151.014734;-0.7589833736419678;https://www.jobindex.dk/jobsoegning?lang=da?page=288.html;https://www.jobindex.dk/jobsoegning?lang=da?page=288.html;223723;200;True;
306;searchpage;requests;1598066152.4370246;-1.2102382183074951;https://www.jobindex.dk/jobsoegning?lang=da?page=289.html;https://www.jobindex.dk/jobsoegning?lang=da?page=289.html;223722;200;True;
307;searchpage;requests;1598066154.2464979;-0.8628227710723877;https://www.jobindex.dk/jobsoegning?lang=da?page=290.html;https://www.jobindex.dk/jobsoegning?lang=da?page=290.html;223723;200;True;
308;searchpage;requests;1598066155.7247372;-1.0865485668182373;https://www.jobindex.dk/jobsoegning?lang=da?page=291.html;https://www.jobindex.dk/jobsoegning?lang=da?page=291.html;223722;200;True;
309;searchpage;requests;1598066157.4545805;-1.0346097946166992;https://www.jobindex.dk/jobsoegning?lang=da?page=292.html;https://www.jobindex.dk/jobsoegning?lang=da?page=292.html;223723;200;True;
310;searchpage;requests;1598066159.1042244;-0.9707052707672119;https://www.jobindex.dk/jobsoegning?lang=da?page=293.html;https://www.jobindex.dk/jobsoegning?lang=da?page=293.html;223723;200;True;
311;searchpage;requests;1598066160.7582538;-1.6383485794067383;https://www.jobindex.dk/jobsoegning?lang=da?page=294.html;https://www.jobindex.dk/jobsoegning?lang=da?page=294.html;223723;200;True;
312;searchpage;requests;1598066163.0351048;-1.541945219039917;https://www.jobindex.dk/jobsoegning?lang=da?page=295.html;https://www.jobindex.dk/jobsoegning?lang=da?page=295.html;223723;200;True;
313;searchpage;requests;1598066165.208202;-1.9615085124969482;https://www.jobindex.dk/jobsoegning?lang=da?page=296.html;https://www.jobindex.dk/jobsoegning?lang=da?page=296.html;223722;200;True;
314;searchpage;requests;1598066167.805707;-0.7899727821350098;https://www.jobindex.dk/jobsoegning?lang=da?page=297.html;https://www.jobindex.dk/jobsoegning?lang=da?page=297.html;223722;200;True;
315;searchpage;requests;1598066169.206862;-0.8749487400054932;https://www.jobindex.dk/jobsoegning?lang=da?page=298.html;https://www.jobindex.dk/jobsoegning?lang=da?page=298.html;223723;200;True;
316;searchpage;requests;1598066170.6889217;-1.094651222229004;https://www.jobindex.dk/jobsoegning?lang=da?page=299.html;https://www.jobindex.dk/jobsoegning?lang=da?page=299.html;223722;200;True;
317;searchpage;requests;1598066172.4905906;-1.4699244499206543;https://www.jobindex.dk/jobsoegning?lang=da?page=300.html;https://www.jobindex.dk/jobsoegning?lang=da?page=300.html;223722;200;True;
318;searchpage;requests;1598066174.5716977;-2.1692445278167725;https://www.jobindex.dk/jobsoegning?lang=da?page=301.html;https://www.jobindex.dk/jobsoegning?lang=da?page=301.html;223723;200;True;
319;searchpage;requests;1598066177.3439937;-0.9547615051269531;https://www.jobindex.dk/jobsoegning?lang=da?page=302.html;https://www.jobindex.dk/jobsoegning?lang=da?page=302.html;223722;200;True;
320;searchpage;requests;1598066178.9261117;-0.8588428497314453;https://www.jobindex.dk/jobsoegning?lang=da?page=303.html;https://www.jobindex.dk/jobsoegning?lang=da?page=303.html;223722;200;True;
321;searchpage;requests;1598066180.391925;-0.9227674007415771;https://www.jobindex.dk/jobsoegning?lang=da?page=304.html;https://www.jobindex.dk/jobsoegning?lang=da?page=304.html;223722;200;True;
322;searchpage;requests;1598066182.0506437;-1.0505428314208984;https://www.jobindex.dk/jobsoegning?lang=da?page=305.html;https://www.jobindex.dk/jobsoegning?lang=da?page=305.html;223723;200;True;
323;searchpage;requests;1598066183.7354612;-1.106520652770996;https://www.jobindex.dk/jobsoegning?lang=da?page=306.html;https://www.jobindex.dk/jobsoegning?lang=da?page=306.html;223722;200;True;
324;searchpage;requests;1598066185.528936;-0.9857797622680664;https://www.jobindex.dk/jobsoegning?lang=da?page=307.html;https://www.jobindex.dk/jobsoegning?lang=da?page=307.html;223722;200;True;
325;searchpage;requests;1598066187.1418774;-1.0426065921783447;https://www.jobindex.dk/jobsoegning?lang=da?page=308.html;https://www.jobindex.dk/jobsoegning?lang=da?page=308.html;223722;200;True;
326;searchpage;requests;1598066188.8437538;-1.2115097045898438;https://www.jobindex.dk/jobsoegning?lang=da?page=309.html;https://www.jobindex.dk/jobsoegning?lang=da?page=309.html;223722;200;True;
327;searchpage;requests;1598066190.7465317;-1.586576223373413;https://www.jobindex.dk/jobsoegning?lang=da?page=310.html;https://www.jobindex.dk/jobsoegning?lang=da?page=310.html;223722;200;True;
328;searchpage;requests;1598066192.947434;-1.106490135192871;https://www.jobindex.dk/jobsoegning?lang=da?page=311.html;https://www.jobindex.dk/jobsoegning?lang=da?page=311.html;223722;200;True;
