132100,5,Ledelse af hovedaktiviteten inden for fremstillingsvirksomhed (undtagen landbrug skovbrug og fiskeri),Bagerichef Bladchef Bladudgiver Bogtrykkeridirektør Bryggerichef Driftsdirektør Fabrikschef Fabriksdirektør Forlagsleder Forlægger Kunstforlægger Mejerichef Mejeridirektør Mejerileder Musikforlægger Produktionschef Produktionsdirektør Savværksleder Støberichef Støberileder Tapperichef Teknisk direktør Trykkerichef Udgiver Værkchef Væverileder Ledelse af hovedaktiviteten inden for fremstillingsvirksomhed (undtagen landbrug skovbrug og fiskeri)
1322,4,Ledelse af hovedaktiviteten inden for råstofudvinding,
132200,5,Ledelse af hovedaktiviteten inden for råstofudvinding,Platformschef/OIM (Offshore) Ledelse af hovedaktiviteten inden for råstofudvinding
1323,4,Ledelse af hovedaktiviteten inden for bygge- og anlægsvirksomhed,
132300,5,Ledelse af hovedaktiviteten inden for bygge- og anlægsvirksomhed,Byggeentreprenør Bygmester Entreprenør Entreprisechef Ledelse af hovedaktiviteten inden for bygge- og anlægsvirksomhed
1324,4,Ledelse af hovedaktiviteten inden for forsyning distribution o.l.,
132400,5,Ledelse af hovedaktiviteten inden for forsyning distribution o.l.,Budcentralindehaver Depotbestyrer Depotchef Depotejer Depotindehaver Distributionschef Distributionsdirektør Energichef Ferskvarechef Forsyningschef Importchef Importleder Importmanager Indkøbschef Indkøbsdirektør Kraftværkschef Lagerchef Rutebilforpagter Ledelse af hovedaktiviteten inden for forsyning distribution o.l.
133,3,Ledelse af hovedaktiviteten inden for informations- og kommunikationsteknologi ,
1330,4,Ledelse af hovedaktiviteten inden for informations- og kommunikationsteknologi ,
133010,5,Ledelse af hovedaktiviteten inden for informations- og kommunikationsteknologi (Business to Business),IT-chef IT-direktør Ledelse af hovedaktiviteten inden for informations- og kommunikationsteknologi (Business to Business)
133020,5,Ledelse af intern IT,IT-chef IT-direktør Ledelse af intern IT
134,3,Ledelse af hovedaktiviteten inden for servicefag,
1341,4,Ledelse af hovedaktiviteten inden for pædagogisk arbejde med og omsorg for børn,
134100,5,Ledelse af hovedaktiviteten inden for pædagogisk arbejde med og omsorg for børn,Børnehavebestyrer Børnehaveforpagter Børnehjemsleder Fritidscenterleder Fritidshjemsbestyrer Fritidshjemsleder Klubhusbestyrer Klubleder Vuggestueleder Ledelse af hovedaktiviteten inden for pædagogisk arbejde med og omsorg for børn
1342,4,Ledelse af hovedaktiviteten inden for sundhedsområdet,
134200,5,Ledelse af hovedaktiviteten inden for sundhedsområdet,Hospitalsdirektør Hospitalsforstander Sygehusadministrator Sygehuschef Sygehusdirektør Sygehusforstander Sygehusforvalter Ledelse af hovedaktiviteten inden for sundhedsområdet
1343,4,Ledelse af hovedaktiviteten inden for ældreplejen,
134300,5,Ledelse af hovedaktiviteten inden for ældreplejen,Hvilehjemsbestyrer Hvilehjemsejer Hvilehjemsforstander Plejehjemsbestyrer Plejehjemsforstander Plejehjemsleder Ledelse af hovedaktiviteten inden for ældreplejen
1344,4,Ledelse af hovedaktiviteten inden for det sociale område,
134400,5,Ledelse af hovedaktiviteten inden for det sociale område,Asylbestyrer Asylleder Orlogshjemsleder Socialcenterleder Ledelse af hovedaktiviteten inden for det sociale område
1345,4,Ledelse af hovedaktiviteten inden for undervisningsområdet,
134500,5,Ledelse af hovedaktiviteten inden for undervisningsområdet,Aftenskoleinspektør Aftenskoleleder Efterskoleforstander Friskoleleder Handelsskoleinspektør Handelsskoleforstander Handelsskoleinspektør Højskoleforstander Højskoleleder Kostskoleforstander Kostskoleinspektør Musikskoleinspektør Musikskoleleder Naturskoleleder Navigationsforstander Rektor Seminarieforstander Seminarierektor Skolebestyrer Skoleforstander Skoleinspektør Skoleleder Undervisningschef Ungdomsskoleforstander Ungdomsskoleinspektør Ungdomsskoleleder Vicerektor Ledelse af hovedaktiviteten inden for undervisningsområdet
1346,4,Ledelse af hovedaktiviteten inden for finans- pensions og forsikringsområdet,
134600,5,Ledelse af hovedaktiviteten inden for finans- pensions og forsikringsområdet,Bankbestyrer Bankdirektør Bankfilialchef Børschef Filialdirektør - finansiel sektor Filialdirektør Fondschef Kreditchef Kreditdirektør Kreditforeningschef Kreditforeningsdirektør Sparekassedirektør Ledelse af hovedaktiviteten inden for finans- pensions- og forsikringsområdet
1349,4,Anden ledelse af hovedaktiviteten inden for servicefag,
134910,5,Ledelse af hovedaktiviteten inden for politi og retsvæsen,Politiadvokat Politimester Vicepolitichef Vicepolitidirektør Vicepolitimester Ledelse af hovedaktiviteten inden for politi og retsvæsen
134990,5,Anden ledelse af hovedaktiviteten inden for servicefag i øvrigt,Banechef Beredskabsmester Brandmester Flyvechef Flyvepladsleder Godsbureauleder Godssalgschef Haldirektør Havnebestyrer Havnechef Ht Chef Indenrigschef Kirkegårdsleder Kolonnechef (Redningsberedskab) Luftfartschef Luftfragtchef Lufthavnschef Overfartsleder Overpostmester Postmester Reder Rederichef Sektionschef (Redningsberedskab) Skibsejer Sporvejsdirektør Stationschef Stationsforstander Stationsleder Terminalchef Trafikdirektør Øldepotbestyrer Anden ledelse af hovedaktiviteten inden for servicefag i øvrigt
14,2,Ledelse af hovedaktiviteten inden for hotel og restauration detail- og engroshandel og andre serviceområder,
141,3,Ledelse af hovedaktiviteten inden for hoteller og restauration,
1411,4,Ledelse af hovedaktiviteten af hoteller,
141100,5,Ledelse af hovedaktiviteten af hoteller ,Gæstgiver Hotelbestyrer Hotelchef Hoteldirektør Ledelse af hovedaktiviteten af hoteller
1412,4,Ledelse af hovedaktiviteten inden for restauration,
141200,5,Ledelse af hovedaktiviteten inden for restauration,Restaurationsbestyrer Restaurationschef Restaurationsforpagter Restaurationsleder Restaurationsmanager Restauratør Ledelse af hovedaktiviteten inden for restauration
142,3,Ledelse af hovedaktiviteten inden for detail- og engroshandel,
1420,4,Ledelse af hovedaktiviteten inden for detail- og engroshandel,
142010,5,Ledelse af hovedaktiviteten inden for detailhandel,Varehuschef Vin og tobakshandler Ledelse af hovedaktiviteten inden for detailhandel
142020,5,Ledelse af hovedaktiviteten inden for engroshandel,Engroschef Ledelse af hovedaktiviteten inden for engroshandel
143,3,Ledelse af hovedaktiviteten inden for andre serviceområder,
1431,4,Ledelse af hovedaktiviteten inden for sport forlystelse og kultur,
143100,5,Ledelse af hovedaktiviteten inden for sport forlystelse og kultur,Museumsbestyrer Museumsdirektør Museumsforstander Museumsleder Parkchef Radioleder Radiostationsleder Teateradministrator Teaterchef Teaterdirektør Teaterleder TV producer Ledelse af hovedaktiviteten inden for sport forlystelse og kultur
1439,4,Ledelse af hovedaktiviteten inden for andre serviceområder,
143900,5,Ledelse af hovedaktiviteten inden for andre serviceområder,Ledelse af hovedaktiviteten inden for andre serviceområder
2,1,Arbejde der forudsætter viden på højeste niveau inden for pågældende område,Arbejde der består i anvendelse af viden og/eller forskning på det højeste niveau inden for et bestemt fagområde. Det være sig såvel inden for undervisning og pædagogik IT-arbejde samt kunstnerisk eller anden intellektuel udfoldelse på højt niveau. Som eksempler kan nævnes ingeniører læger akademikere arkitekter advokater lærere pædagoger sygeplejersker terapeuter og journalister.
21,2,Arbejde inden for naturvidenskab og ingeniørvirksomhed,
211,3,Arbejde inden for fysik og geologi,
2111,4,Arbejde inden for fysik og astronomi,
211100,5,Arbejde inden for fysik og astronomi,Astronom Fysiker Kosmolog Arbejde inden for fysik og astronomi
2112,4,Arbejde inden for meteorologi,
211200,5,Arbejde inden for meteorologi,Klimatolog Meteorolog Overmeteorolog Statsmeteorolog Arbejde inden for meteorologi
2113,4,Arbejde inden for kemi,
211300,5,Arbejde inden for kemi,Kemiker Proceskemiker Arbejde inden for kemi
2114,4,Arbejde inden for geologi og geofysik,
211400,5,Arbejde inden for geologi og geofysik,Chefgeodæt Geodæt Geofysiker Geolog Grundvandshydrolog Hydrolog Mikropalæont Naturgaskonsulent Oceanograf Statsgeodæt Statsgeolog Arbejde inden for geologi og geofysik
212,3,Arbejde med matematiske aktuariske og statistiske metoder og teorier,
2120,4,Arbejde med matematiske aktuariske og statistiske metoder og teorier,
212000,5,Arbejde med matematiske aktuariske og statistiske metoder og teorier,Aktuar Chefaktuar Chefstatistiker Forsikringsmatematiker Matematiker Statistiker Arbejde med matematiske aktuariske og statistiske metoder og teorier
213,3,Arbejde inden for biovidenskab,
2131,4,Arbejde inden for biokemi biologi botanik zoologi og beslægtede områder,
213110,5,Arbejde inden for biokemi,Biokemiker Mikrokemiker Arbejde inden for biokemi
213120,5,Arbejde inden for biologi botanik zoologi og beslægtede områder,Biolog Botaniker Fiskeribiolog Fiskerikonsulent Havbiolog Marinebiolog Mikrobiolog Ornitolog Statsbiolog Vildtforvalter Zoolog Økolog Arbejde inden for biologi botanik zoologi og beslægtede områder
2132,4,Rådgivning inden for landbrug skovbrug og fiskeri,
213200,5,Rådgivning inden for landbrug skovbrug og fiskeri,Agrartekniker Agronom Agronomkonsulent Agronomtekniker Agrotekniker Avlskontrollør Cand Silv Chefskovrider Civilhortonom Dambrugskonsulent Forstfuldmægtig Forstinspektør Forstkandidat Forstkonsulent Frøavlskonsulent Fåreavlskonsulent Havebrugskandidat Havebrugskonsulent Hortonom Husdyrbrugstekniker Husdyrsbrugskonsulent Kvægavlskonsulent Kvægbrugskonsulent Kvægbrugstekniker Landbrugskandidat Landbrugskonsulent Landbrugstekniker Lic Agro Planteavlskonsulent Skadedyrskonsulent Skovbrugskandidat Skovbrugskonsulent Skovrider Statsskovrider Svineavlskonsulent Vildtkonsulent Rådgivning inden for landbrug skovbrug og fiskeri
2133,4,Arbejde inden for miljøbeskyttelse,
213300,5,Arbejde inden for miljøbeskyttelse,Arbejde inden for miljøbeskyttelse
214,3,Ingeniørarbejde (undtagen inden for elektroteknologi),
2141,4,Ingeniørarbejde i industri og produktion,
214100,5,Ingeniørarbejde i industri og produktion,Produktionsingeniør Ingeniørarbejde i industri og produktion
2142,4,Ingeniørarbejde vedrørende bygninger og anlæg,
214200,5,Ingeniørarbejde vedrørende bygninger og anlæg,Anlægsingeniør Bygningsingeniør Bygningskonsulent Civilingeniør - infrastruktur Distriktsvejingeniør Havneingeniør Ingeniør - infrastruktur Vejingeniør Vejinspektør VVS ingeniør Ingeniørarbejde vedrørende bygninger og anlæg
2143,4,Ingeniørarbejde inden for miljø,
214300,5,Ingeniørarbejde inden for miljø,Ingeniørarbejde inden for miljø
2144,4,Ingeniørarbejde inden for mekaniske systemer ,
214400,5,Ingeniørarbejde inden for mekaniske systemer ,Ingeniør - maskin- og skibsingeniør Køleingeniør Maskiningeniør Ingeniørarbejde inden for mekaniske systemer
2145,4,Ingeniørarbejde inden for kemi,
214500,5,Ingeniørarbejde inden for kemi,Betoningeniør Ingeniør - kemi Kemiingeniør Mud Engineer (Offshore) Ingeniørarbejde inden for kemi
2146,4,Ingeniørarbejde inden for minedrift metallurgi og beslægtede områder,
214600,5,Ingeniørarbejde inden for minedrift metallurgi og beslægtede områder,Boreingeniør Drilling engineer (Offshore) Ingeniør - mine- og boreingeniør Mineingeniør Ingeniørarbejde inden for minedrift metallurgi og beslægtede områder
2149,4,Andet ingeniørarbejde (undtagen elektroteknologi),
214900,5,Andet ingeniørarbejde (undtagen elektroteknologi),Agroingeniør Arbejdsstudieingeniør Beredskabsingeniør Brandingeniør Brandinspektør Bryggeringeniør Brygmester Kvalitetsingeniør Landbrugsingeniør Mejeribrugskandidat Mejeriingeniør Metodeingeniør Patentingeniør Støberiingeniør Andet ingeniørarbejde (undtagen elektroteknologi)
215,3,Ingeniørarbejde inden for elektroteknologi,
2151,4,Ingeniørarbejde inden for elektricitet,
215100,5,Ingeniørarbejde inden for elektricitet,Civilingeniør - stærkstrøm EL ingeniør Elektroingeniør Ingeniør - stærkstrøm Stærkstrømsingeniør Ingeniørarbejde inden for elektricitet
2152,4,Ingeniørarbejde inden for elektronik,
