"19;""121200"";5;Ledelse inden for HR-funktioner;;Løn og personalechef", Lønningschef, Personaleadministrator, Personalechef, Personaledirektør, Rekrutteringschef, Uddannelseschef, Ledelse inden for HR-funktioner;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"20;""1213"";4;Ledelse inden for offentlig administration og virksomhedsstrategi/policy området;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"21;""121310"";5;Ledelse inden virksomhedsstrategi/policy området;;Ledelse inden virksomhedsstrategi/policy området;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"22;""121320"";5;Administrativ ledelse i den offentlige sektor;;Administrativ ledelse i den offentlige sektor;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"23;""1219"";4;Ledelse inden for anden forretningsservice og andre administrative funktioner;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"24;""121910"";5;Ledelse af rengøringsfunktioner o.l.;;Ledelse af rengøringsfunktioner o.l.;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"25;""121920"";5;Ledelse af logistikfunktioner;;Leverancechef", Logistikchef, Materielchef, Ledelse af logistikfunktioner;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"26;""121990"";5;Anden ledelse inden for forretningsservice og administrative funktioner i øvrigt;;Abonnementschef", Emballagechef, Kvalitetschef, Kvalitetsdirektør, Miljøchef, Rationaliseringschef, Rationaliseringsleder, Registreringschef, Reklamationschef, Servicechef, Sikringschef, Anden ledelse inden for forretningsservice og administrative funktioner i øvrigt;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"27;""122"";3;Ledelse af forretnings- og udviklingsorienterede funktioner;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"28;""1221"";4;Ledelse af salg og marketing;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"29;""122100"";5;Ledelse af salg og marketing;;Afsætningschef", Agenturchef, Akkvisitionschef, Akkvisitørchef, Eksportchef, Eksportdirektør, Eksportsalgschef, Markedsdirektør, Marketingchef, Marketingdirektør, Marketingschef, Marketingsdirektør, Mediachef, Prischef, Produktchef, Sales Manager, Salgsafdelingschef, Salgschef, Salgsdirektør, Ledelse af salg og marketing;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"30;""1222"";4;Ledelse af reklame og PR;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"31;""122200"";5;Ledelse af reklame og PR;;PR chef", Pressechef, Reklamechef, Ledelse af reklame og PR;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"32;""1223"";4;Ledelse af kommerciel forskning og udvikling;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"33;""122300"";5;Ledelse af kommerciel forskning og udvikling;;Forskningschef", Produktudviklingschef, Researchchef, Udviklingschef, Udviklingsdirektør, Ledelse af kommerciel forskning og udvikling;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"34;""13"";2;Ledelse af hovedaktiviteten inden for produktions- og servicevirksomhed;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"35;""131"";3;Ledelse af produktion i landbrug", skovbrug og fiskeri;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"36;""1311"";4;Ledelse af produktion i landbrug og skovbrug;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"37;""131100"";5;Ledelse af produktion i landbrug og skovbrug;;Godsejer", Gårdforpagter, Kyllingefarmer, Landbrugsforpagter, Proprietær, Ledelse af produktion i landbrug og skovbrug;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"38;""1312"";4;Ledelse af produktion inden for akvakultur og fiskeri;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"39;""131200"";5;Ledelse af produktion inden for akvakultur og fiskeri;;Fiskeriforpagter", Ledelse af produktion inden for akvakultur og fiskeri;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"40;""132"";3;Ledelse af hovedaktiviteten inden for fremstillingsvirksomhed", råstofudvinding, byggeri, forsyning, distribution mv.;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"41;""1321"";4;Ledelse af hovedaktiviteten inden for fremstillingsvirksomhed (undtagen landbrug", skovbrug og fiskeri);,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"42;""132100"";5;Ledelse af hovedaktiviteten inden for fremstillingsvirksomhed (undtagen landbrug", skovbrug og fiskeri);;Bagerichef, Bladchef, Bladudgiver, Bogtrykkeridirektør, Bryggerichef, Driftsdirektør, Fabrikschef, Fabriksdirektør, Forlagsleder, Forlægger, Kunstforlægger, Mejerichef, Mejeridirektør, Mejerileder, Musikforlægger, Produktionschef, Produktionsdirektør, Savværksleder, Støberichef, Støberileder, Tapperichef, Teknisk direktør, Trykkerichef, Udgiver, Værkchef, Væverileder, Ledelse af hovedaktiviteten inden for fremstillingsvirksomhed (undtagen landbrug, skovbrug og fiskeri);,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"43;""1322"";4;Ledelse af hovedaktiviteten inden for råstofudvinding;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"44;""132200"";5;Ledelse af hovedaktiviteten inden for råstofudvinding;;Platformschef/OIM (Offshore)", Ledelse af hovedaktiviteten inden for råstofudvinding;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"45;""1323"";4;Ledelse af hovedaktiviteten inden for bygge- og anlægsvirksomhed;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"46;""132300"";5;Ledelse af hovedaktiviteten inden for bygge- og anlægsvirksomhed;;Byggeentreprenør", Bygmester, Entreprenør, Entreprisechef, Ledelse af hovedaktiviteten inden for bygge- og anlægsvirksomhed;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"47;""1324"";4;Ledelse af hovedaktiviteten inden for forsyning", distribution o.l.;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"48;""132400"";5;Ledelse af hovedaktiviteten inden for forsyning", distribution o.l.;;Budcentralindehaver, Depotbestyrer, Depotchef, Depotejer, Depotindehaver, Distributionschef, Distributionsdirektør, Energichef, Ferskvarechef, Forsyningschef, Importchef, Importleder, Importmanager, Indkøbschef, Indkøbsdirektør, Kraftværkschef, Lagerchef, Rutebilforpagter, Ledelse af hovedaktiviteten inden for forsyning, distribution o.l.;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"49;""133"";3;""Ledelse af hovedaktiviteten inden for informations- og kommunikationsteknologi "";",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"50;""1330"";4;""Ledelse af hovedaktiviteten inden for informations- og kommunikationsteknologi "";",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"51;""133010"";5;Ledelse af hovedaktiviteten inden for informations- og kommunikationsteknologi (Business to Business);;IT-chef", IT-direktør, Ledelse af hovedaktiviteten inden for informations- og kommunikationsteknologi (Business to Business);,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"52;""133020"";5;Ledelse af intern IT;;IT-chef", IT-direktør, Ledelse af intern IT;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"53;""134"";3;Ledelse af hovedaktiviteten inden for servicefag;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"54;""1341"";4;Ledelse af hovedaktiviteten inden for pædagogisk arbejde med og omsorg for børn;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
