id;project;connector_type;t;delta_t;url;redirect_url;response_size;response_code;success;error
29;jobs;requests;1597293780.0002372;-0.4319183826446533;https://job.jobnet.dk/CV/FindWork/Search?Offset=8280&SortValue=BestMatch;https://job.jobnet.dk/CV/FindWork/Search?Offset=8280&SortValue=BestMatch;104160;200;True;
30;jobs;requests;1597293987.0833046;-1.055631399154663;https://job.jobnet.dk/CV/FindWork/Search?Offset=8120&SortValue=BestMatch;https://job.jobnet.dk/CV/FindWork/Search?Offset=8120&SortValue=BestMatch;104361;200;True;
31;jobs;requests;1597293989.1565795;-0.4466722011566162;https://job.jobnet.dk/CV/FindWork/Search?Offset=80&SortValue=BestMatch;https://job.jobnet.dk/CV/FindWork/Search?Offset=80&SortValue=BestMatch;105122;200;True;
32;jobs;requests;1597293990.614507;-0.4481360912322998;https://job.jobnet.dk/CV/FindWork/Search?Offset=11560&SortValue=BestMatch;https://job.jobnet.dk/CV/FindWork/Search?Offset=11560&SortValue=BestMatch;106194;200;True;
33;jobs;requests;1597293992.0803993;-0.43825554847717285;https://job.jobnet.dk/CV/FindWork/Search?Offset=8340&SortValue=BestMatch;https://job.jobnet.dk/CV/FindWork/Search?Offset=8340&SortValue=BestMatch;104141;200;True;
34;jobs;requests;1597293993.5366147;-0.4628312587738037;https://job.jobnet.dk/CV/FindWork/Search?Offset=8620&SortValue=BestMatch;https://job.jobnet.dk/CV/FindWork/Search?Offset=8620&SortValue=BestMatch;104068;200;True;
35;jobs;requests;1597293995.0174258;-0.43818092346191406;https://job.jobnet.dk/CV/FindWork/Search?Offset=1020&SortValue=BestMatch;https://job.jobnet.dk/CV/FindWork/Search?Offset=1020&SortValue=BestMatch;104399;200;True;
36;jobs;requests;1597293996.4569972;-0.4005119800567627;https://job.jobnet.dk/CV/FindWork/Search?Offset=4580&SortValue=BestMatch;https://job.jobnet.dk/CV/FindWork/Search?Offset=4580&SortValue=BestMatch;104523;200;True;
37;jobs;requests;1597293997.8737214;-0.4683401584625244;https://job.jobnet.dk/CV/FindWork/Search?Offset=11600&SortValue=BestMatch;https://job.jobnet.dk/CV/FindWork/Search?Offset=11600&SortValue=BestMatch;103835;200;True;
38;jobs;requests;1597293999.3618143;-0.45064640045166016;https://job.jobnet.dk/CV/FindWork/Search?Offset=4420&SortValue=BestMatch;https://job.jobnet.dk/CV/FindWork/Search?Offset=4420&SortValue=BestMatch;101397;200;True;
39;jobs;requests;1597294000.8210647;-0.44907402992248535;https://job.jobnet.dk/CV/FindWork/Search?Offset=1180&SortValue=BestMatch;https://job.jobnet.dk/CV/FindWork/Search?Offset=1180&SortValue=BestMatch;104148;200;True;
40;jobs;requests;1597294002.2902298;-0.44081854820251465;https://job.jobnet.dk/CV/FindWork/Search?Offset=12000&SortValue=BestMatch;https://job.jobnet.dk/CV/FindWork/Search?Offset=12000&SortValue=BestMatch;106516;200;True;
41;jobs;requests;1597294003.7672756;-0.41887998580932617;https://job.jobnet.dk/CV/FindWork/Search?Offset=380&SortValue=BestMatch;https://job.jobnet.dk/CV/FindWork/Search?Offset=380&SortValue=BestMatch;104104;200;True;
42;jobs;requests;1597294005.1934607;-0.44879841804504395;https://job.jobnet.dk/CV/FindWork/Search?Offset=8900&SortValue=BestMatch;https://job.jobnet.dk/CV/FindWork/Search?Offset=8900&SortValue=BestMatch;103723;200;True;
43;jobs;requests;1597294006.650967;-0.5362241268157959;https://job.jobnet.dk/CV/FindWork/Search?Offset=8500&SortValue=BestMatch;https://job.jobnet.dk/CV/FindWork/Search?Offset=8500&SortValue=BestMatch;104146;200;True;
44;jobs;requests;1597294008.1920362;-0.46149754524230957;https://job.jobnet.dk/CV/FindWork/Search?Offset=9020&SortValue=BestMatch;https://job.jobnet.dk/CV/FindWork/Search?Offset=9020&SortValue=BestMatch;104692;200;True;
45;jobs;requests;1597294009.6716933;-0.457775354385376;https://job.jobnet.dk/CV/FindWork/Search?Offset=5560&SortValue=BestMatch;https://job.jobnet.dk/CV/FindWork/Search?Offset=5560&SortValue=BestMatch;104324;200;True;
46;jobs;requests;1597294011.1442368;-0.4528505802154541;https://job.jobnet.dk/CV/FindWork/Search?Offset=9060&SortValue=BestMatch;https://job.jobnet.dk/CV/FindWork/Search?Offset=9060&SortValue=BestMatch;103855;200;True;
47;jobs;requests;1597294012.5988767;-0.4692521095275879;https://job.jobnet.dk/CV/FindWork/Search?Offset=2800&SortValue=BestMatch;https://job.jobnet.dk/CV/FindWork/Search?Offset=2800&SortValue=BestMatch;104788;200;True;
48;jobs;requests;1597294014.0900264;-0.45082902908325195;https://job.jobnet.dk/CV/FindWork/Search?Offset=13660&SortValue=BestMatch;https://job.jobnet.dk/CV/FindWork/Search?Offset=13660&SortValue=BestMatch;104040;200;True;
49;jobs;requests;1597294015.5590093;-0.45453596115112305;https://job.jobnet.dk/CV/FindWork/Search?Offset=4760&SortValue=BestMatch;https://job.jobnet.dk/CV/FindWork/Search?Offset=4760&SortValue=BestMatch;104146;200;True;
5;categories;requests;1597297301.27823;-0.8136904239654541;https://www.trustpilot.com/categories;https://www.trustpilot.com/categories;237017;200;True;
6;categories;requests;1597297401.9583287;-0.20444703102111816;https://www.trustpilot.com/categories;https://www.trustpilot.com/categories;237017;200;True;
7;categories;requests;1597298122.8185897;-0.8116953372955322;https://www.trustpilot.com/categories;https://www.trustpilot.com/categories;237017;200;True;
8;categories;requests;1597298886.2491233;-7.6404128074646;https://www.trustpilot.com/categories;https://www.trustpilot.com/categories;237017;200;True;
9;categories;requests;1597298902.3966508;-0.20432305335998535;https://www.trustpilot.com/categories;https://www.trustpilot.com/categories;237017;200;True;
10;categories;requests;1597299068.6544888;-0.20531892776489258;https://www.trustpilot.com/categories;https://www.trustpilot.com/categories;237017;200;True;
