id;project;connector_type;t;delta_t;url;redirect_url;response_size;response_code;success;error
33;jobpostings;requests;1597293156.599881;-0.48528051376342773;https://job.jobnet.dk/CV/FindWork/Search?Offset=2840&SortValue=CreationDate;https://job.jobnet.dk/CV/FindWork/Search?Offset=2840&SortValue=CreationDate;104777;200;True;
34;jobpostings;requests;1597293158.1023972;-0.4334845542907715;https://job.jobnet.dk/CV/FindWork/Search?Offset=5860&SortValue=CreationDate;https://job.jobnet.dk/CV/FindWork/Search?Offset=5860&SortValue=CreationDate;103961;200;True;
35;jobpostings;requests;1597293159.555039;-0.4716007709503174;https://job.jobnet.dk/CV/FindWork/Search?Offset=3040&SortValue=CreationDate;https://job.jobnet.dk/CV/FindWork/Search?Offset=3040&SortValue=CreationDate;105239;200;True;
36;jobpostings;requests;1597293161.0280263;-0.7713403701782227;https://job.jobnet.dk/CV/FindWork/Search?Offset=6220&SortValue=CreationDate;https://job.jobnet.dk/CV/FindWork/Search?Offset=6220&SortValue=CreationDate;104619;200;True;
37;jobpostings;requests;1597293162.8224049;-0.4151020050048828;https://job.jobnet.dk/CV/FindWork/Search?Offset=10640&SortValue=CreationDate;https://job.jobnet.dk/CV/FindWork/Search?Offset=10640&SortValue=CreationDate;103986;200;True;
38;jobpostings;requests;1597293164.2561364;-0.4013223648071289;https://job.jobnet.dk/CV/FindWork/Search?Offset=240&SortValue=CreationDate;https://job.jobnet.dk/CV/FindWork/Search?Offset=240&SortValue=CreationDate;104138;200;True;
39;jobpostings;requests;1597293165.682682;-0.492931604385376;https://job.jobnet.dk/CV/FindWork/Search?Offset=11440&SortValue=CreationDate;https://job.jobnet.dk/CV/FindWork/Search?Offset=11440&SortValue=CreationDate;104777;200;True;
40;jobpostings;requests;1597293516.1954641;-1.0635948181152344;https://job.jobnet.dk/CV/FindWork/Search?Offset=2200&SortValue=CreationDate;https://job.jobnet.dk/CV/FindWork/Search?Offset=2200&SortValue=CreationDate;103820;200;True;
41;jobpostings;requests;1597293863.198122;-1.087308406829834;https://job.jobnet.dk/CV/FindWork/Search?Offset=3140&SortValue=CreationDate;https://job.jobnet.dk/CV/FindWork/Search?Offset=3140&SortValue=CreationDate;104572;200;True;
42;jobpostings;requests;1597293882.3022337;-0.4135599136352539;https://job.jobnet.dk/CV/FindWork/Search?Offset=6180&SortValue=CreationDate;https://job.jobnet.dk/CV/FindWork/Search?Offset=6180&SortValue=CreationDate;106354;200;True;
5;jobpostings;requests;1597293939.425942;-1.0444254875183105;https://job.jobnet.dk/CV/FindWork/Search?Offset=6740&SortValue=CreationDate;https://job.jobnet.dk/CV/FindWork/Search?Offset=6740&SortValue=CreationDate;104845;200;True;
